Date,Airline,Departure,Arrival,Day,time,Payment,Price
2023-08-23,에미레이트항공,23:55ICN,13:30CDG,+1일,"경유 1, 20시간 35분",성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 5,843,900원~"
2023-08-23,에미레이트항공,23:55ICN,20:00CDG,+1일,"경유 1, 27시간 05분",성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 5,843,900원~"
2023-08-23,에미레이트항공,23:55ICN,09:25CDG,+2일,"경유 1, 40시간 30분",성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 5,843,900원~"
2023-08-23,대한항공,12:20ICN,18:30CDG,"직항, 13시간 10분",,성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 5,953,500원~"
2023-08-24,에미레이트항공,23:55ICN,13:30CDG,+1일,"경유 1, 20시간 35분",성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 5,843,900원~"
2023-08-24,에미레이트항공,23:55ICN,20:00CDG,+1일,"경유 1, 27시간 05분",성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 5,843,900원~"
2023-08-24,에미레이트항공,23:55ICN,09:25CDG,+2일,"경유 1, 40시간 30분",성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 5,843,900원~"
2023-08-24,대한항공,12:20ICN,18:30CDG,"직항, 13시간 10분",,성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 5,953,500원~"
2023-08-24,여러항공사Hop 공동운항,11:25ICN,21:20CDG,"경유 1, 16시간 55분",,성인/모든 결제수단,"편도 6,628,600원~"
2023-08-24,여러항공사,10:55ICN,22:50CDG,"경유 1, 18시간 55분",,성인/모든 결제수단,"편도 6,629,500원~"
2023-08-24,여러항공사Hop 공동운항,11:25ICN,08:35CDG,+1일,"경유 1, 28시간 10분",성인/모든 결제수단,"편도 6,716,000원~"
2023-08-24,여러항공사Hop 공동운항,11:25ICN,11:10CDG,+1일,"경유 1, 30시간 45분",성인/모든 결제수단,"편도 6,716,000원~"
2023-08-24,일본항공대한항공 공동운항,20:30ICN,16:15CDG,+1일,"경유 1, 26시간 45분",성인/모든 결제수단,"편도 7,132,600원~"
2023-08-24,일본항공대한항공 공동운항,10:10ICN,16:15CDG,+1일,"경유 1, 37시간 05분",성인/모든 결제수단,"편도 7,147,300원~"
2023-08-24,일본항공대한항공 공동운항,18:05ICN,16:15CDG,+1일,"경유 1, 29시간 10분",성인/모든 결제수단,"편도 7,147,300원~"
2023-08-24,중국동방항공,12:55ICN,06:30CDG,+1일,"경유 1, 24시간 35분",성인/삼성 iD PET 카드,"편도 8,087,900원~"
2023-08-24,에미레이트항공대한항공 공동운항,13:40ICN,09:25CDG,+1일,"경유 1, 26시간 45분",성인/모든 결제수단,"편도 9,508,900원~"
2023-08-24,에미레이트항공대한항공 공동운항,13:40ICN,13:30CDG,+1일,"경유 1, 30시간 50분",성인/모든 결제수단,"편도 9,508,900원~"
2023-08-24,여러항공사,08:10ICN,07:00CDG,+1일,"경유 1, 29시간 50분",성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 10,331,300원~"
2023-08-24,캐세이퍼시픽항공,15:10ICN,07:00CDG,+1일,"경유 1, 22시간 50분",성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 10,367,000원~"
2023-08-25,에미레이트항공,23:55ICN,13:30CDG,+1일,"경유 1, 20시간 35분",성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 5,843,900원~"
2023-08-25,에미레이트항공,23:55ICN,20:00CDG,+1일,"경유 1, 27시간 05분",성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 5,843,900원~"
2023-08-25,에미레이트항공,23:55ICN,09:25CDG,+2일,"경유 1, 40시간 30분",성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 5,843,900원~"
2023-08-25,대한항공,12:20ICN,18:30CDG,"직항, 13시간 10분",,성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 5,953,500원~"
2023-08-25,여러항공사Hop 공동운항,11:25ICN,21:20CDG,"경유 1, 16시간 55분",,성인/모든 결제수단,"편도 6,628,600원~"
2023-08-25,여러항공사,10:55ICN,09:35CDG,+1일,"경유 1, 29시간 40분",성인/모든 결제수단,"편도 6,629,500원~"
2023-08-25,여러항공사,10:55ICN,23:15CDG,"경유 1, 19시간 20분",,성인/모든 결제수단,"편도 6,629,500원~"
2023-08-25,여러항공사Hop 공동운항,11:25ICN,08:35CDG,+1일,"경유 1, 28시간 10분",성인/모든 결제수단,"편도 6,716,000원~"
2023-08-25,여러항공사Hop 공동운항,11:25ICN,11:10CDG,+1일,"경유 1, 30시간 45분",성인/모든 결제수단,"편도 6,716,000원~"
2023-08-25,여러항공사,10:55ICN,08:35CDG,+1일,"경유 1, 28시간 40분",성인/모든 결제수단,"편도 6,973,200원~"
2023-08-25,여러항공사,10:55ICN,11:20CDG,+1일,"경유 1, 31시간 25분",성인/모든 결제수단,"편도 6,973,200원~"
2023-08-25,여러항공사,10:55ICN,13:50CDG,+1일,"경유 1, 33시간 55분",성인/모든 결제수단,"편도 6,973,200원~"
2023-08-25,일본항공대한항공 공동운항,20:30ICN,16:15CDG,+1일,"경유 1, 26시간 45분",성인/모든 결제수단,"편도 7,132,600원~"
2023-08-25,일본항공대한항공 공동운항,10:10ICN,16:15CDG,+1일,"경유 1, 37시간 05분",성인/모든 결제수단,"편도 7,147,300원~"
2023-08-25,일본항공대한항공 공동운항,18:05ICN,16:15CDG,+1일,"경유 1, 29시간 10분",성인/모든 결제수단,"편도 7,147,300원~"
2023-08-26,에미레이트항공,23:55ICN,13:30CDG,+1일,"경유 1, 20시간 35분",성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 5,843,900원~"
2023-08-26,에미레이트항공,23:55ICN,20:00CDG,+1일,"경유 1, 27시간 05분",성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 5,843,900원~"
2023-08-26,에미레이트항공,23:55ICN,09:25CDG,+2일,"경유 1, 40시간 30분",성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 5,843,900원~"
2023-08-26,대한항공,12:20ICN,18:30CDG,"직항, 13시간 10분",,성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 5,953,500원~"
2023-08-27,에미레이트항공,23:55ICN,13:30CDG,+1일,"경유 1, 20시간 35분",성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 5,843,900원~"
2023-08-27,에미레이트항공,23:55ICN,20:00CDG,+1일,"경유 1, 27시간 05분",성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 5,843,900원~"
2023-08-27,에미레이트항공,23:55ICN,09:25CDG,+2일,"경유 1, 40시간 30분",성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 5,843,900원~"
2023-08-27,대한항공,12:20ICN,18:30CDG,"직항, 13시간 10분",,성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 5,953,500원~"
2023-08-28,에미레이트항공,23:55ICN,20:00CDG,+1일,"경유 1, 27시간 05분",성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 5,843,900원~"
2023-08-28,에미레이트항공,23:55ICN,09:25CDG,+2일,"경유 1, 40시간 30분",성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 5,843,900원~"
2023-08-28,대한항공,12:20ICN,18:30CDG,"직항, 13시간 10분",,성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 5,953,500원~"
2023-08-28,여러항공사,10:55ICN,09:20CDG,+1일,"경유 1, 29시간 25분",성인/모든 결제수단,"편도 6,601,400원~"
2023-08-29,에미레이트항공,23:55ICN,20:00CDG,+1일,"경유 1, 27시간 05분",성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 5,843,900원~"
2023-08-29,에미레이트항공,23:55ICN,09:25CDG,+2일,"경유 1, 40시간 30분",성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 5,843,900원~"
2023-08-29,대한항공,12:20ICN,18:30CDG,"직항, 13시간 10분",,성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 5,953,500원~"
2023-08-29,대한항공,09:00ICN,15:30CDG,"직항, 13시간 30분",,성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 5,953,500원~"
2023-08-29,여러항공사Hop 공동운항,11:25ICN,21:20CDG,"경유 1, 16시간 55분",,성인/모든 결제수단,"편도 6,628,600원~"
2023-08-29,여러항공사,10:55ICN,09:10CDG,+1일,"경유 1, 29시간 15분",성인/모든 결제수단,"편도 6,629,500원~"
2023-08-29,여러항공사,10:55ICN,11:00CDG,+1일,"경유 1, 31시간 05분",성인/모든 결제수단,"편도 6,629,500원~"
2023-08-29,여러항공사,10:55ICN,22:50CDG,"경유 1, 18시간 55분",,성인/모든 결제수단,"편도 6,629,500원~"
2023-08-29,여러항공사,10:55ICN,08:35CDG,+1일,"경유 1, 28시간 40분",성인/모든 결제수단,"편도 6,669,000원~"
2023-08-29,여러항공사Hop 공동운항,11:25ICN,08:35CDG,+1일,"경유 1, 28시간 10분",성인/모든 결제수단,"편도 6,716,000원~"
2023-08-29,여러항공사Hop 공동운항,11:25ICN,11:10CDG,+1일,"경유 1, 30시간 45분",성인/모든 결제수단,"편도 6,716,000원~"
2023-08-29,여러항공사Hop 공동운항,11:25ICN,13:35CDG,+1일,"경유 1, 33시간 10분",성인/모든 결제수단,"편도 6,716,000원~"
2023-08-29,에미레이트항공,23:55ICN,13:30CDG,+1일,"경유 1, 20시간 35분",성인/현대 M2/M3 Edition2(이용실적 충족시),"편도 6,896,900원~"
2023-08-29,여러항공사,10:55ICN,13:50CDG,+1일,"경유 1, 33시간 55분",성인/모든 결제수단,"편도 6,973,200원~"
2023-08-29,여러항공사,10:55ICN,11:20CDG,+1일,"경유 1, 31시간 25분",성인/모든 결제수단,"편도 6,973,200원~"
2023-08-29,일본항공대한항공 공동운항,20:30ICN,16:15CDG,+1일,"경유 1, 26시간 45분",성인/모든 결제수단,"편도 7,132,600원~"
2023-08-29,일본항공대한항공 공동운항,18:05ICN,16:15CDG,+1일,"경유 1, 29시간 10분",성인/모든 결제수단,"편도 7,147,300원~"
