name,category,rate,price,time,price_numeric,price_text
"Paris: Eiffel Tower Tour, Arc de Triomphe, and Cruise",Bundle,4.3,"150,448 per person",5 hours,150448,per person
Paris: Wine and Cheese Tasting,Workshop or class,4.6,"78,241 per person",1.5 hours,78241,per person
Paris: Walking Food Tour in Saint Germain des Prés,Guided tour,5.0,"164,005 per person",3 hours,164005,per person
From Paris: Versailles Audio Guided Tour with Tickets,Day trip,3.6,"123,380 per person",4 - 10 hours,123380,per person
Paris: Bus Toqué Tour with 5-Course Dinner and Champagne,Guided tour,4.7,"180,555 per person",2 hours,180555,per person
Paris: Louvre Museum Private Family Tour Designed for Kids,Private tour,4.4,"322,743 per person",2 hours,322743,per person
Paris: 1 or 2-Hour Major Monuments Tour by Tuk Tuk,Private tour,4.5,"173,032 per group up to 2",1 - 2 hours,173032,per group up to 2
"Paris: Walking Food Tour with Cheese, Wine and Delicacies",Guided tour,4.6,"173,032 per person",198 minutes,173032,per person
All Inclusive Private Car Tour of Paris,Private tour,5.0,"1,504,629 per group up to 6",6 hours,1504629,per group up to 6
From Paris: Versailles Palace And Garden Small Group Tour,Guided tour,4.5,"74,434 per person",3 hours,74434,per person
Paris: Romantic Italian Dinner Cruise on the Seine,Other experience,0.0,"82,755 per person",1 day,82755,per person
"Paris: Eiffel Lunch, 2nd Floor or Summit Ticket & Cruise",Water activity,4.1,"236,227 per person",4 hours,236227,per person
Monet's Garden Bike Tour from Paris,Day trip,4.9,"164,005 per person",8.5 hours,164005,per person
Paris: 45-minute Chocolate Making Workshop at Choco-Story,Workshop or class,4.2,"60,185 per person",2 hours,60185,per person
Paris: Grèvin Wax Museum and Seine River Cruise Tickets,Bundle,4.4,"45,289 per person",1 day,45289,per person
"Paris: Macarons Class, Teatime and To-Go Box",Workshop or class,4.9,"194,097 per person",3 hours,194097,per person
Paris: La Nouvelle Eve Cabaret Dinner Show,Entry ticket,4.6,"239,236 per person",3 hours,239236,per person
Paris: Seine Cruise and Eiffel Tower Carousel Tickets,Bundle,4.4,"25,172 per person",,25172,per person
Paris: City and River Seine Tour on an Amphibious Bus,Water activity,4.7,"58,681 per person",105 minutes,58681,per person
Paris Flea Market Insider's Tour,Guided tour,5.0,"75,156 per person",1.5 hours,75156,per person
Paris: A Chef's Food Tour of Montmartre with 4-Course Feast,Guided tour,5.0,"188,079 per person",4.5 hours,188079,per person
Eiffel Tower Climbing Experience with Summit or 2nd Access,Guided tour,0.0,"47,922 per person",1.5 hours,47922,per person
Paris 4-Hour Bike Tour: Off the Beaten Path,Guided tour,4.8,"67,708 per person",4 hours,67708,per person
Paris: 2.5-Hour Group Segway Tour,Guided tour,4.9,"105,324 per person",2.5 hours,105324,per person
Best of Paris Bike Tour,Guided tour,4.8,"67,708 per person",4 hours,67708,per person
Small-Group Canadian Normandy D-Day Juno Beach from Paris,Day trip,4.9,"331,018 per person",13 hours,331018,per person
Paris: Dinner at Ginger Restaurant & Show at Crazy Horse,Entry ticket,4.5,"300,926 per person",1.5 hours,300926,per person
Paris: Disneyland Paris 1-Day Flexible Ticket,Entry ticket,4.5,"157,986 per person",365 days,157986,per person
Small-Group Giverny and Van Gogh's Room in Auvers from Paris,Day trip,5.0,"284,375 per person",10 hours,284375,per person
Le Marais: Pastry and Chocolate Food Tour,Guided tour,4.5,"164,005 per person",3 hours,164005,per person
Paris Catacombs: VIP Skip-the-Line Restricted Access Tour,Guided tour,4.9,"180,405 per person",2 hours,180405,per person
Paris: Eiffel Tower Tickets and City Bus Tour,Bundle,3.9,"118,866 per person",1 day,118866,per person
Paris: Half-Day Electric Bike Tour,Guided tour,4.8,"87,268 per person",3 hours,87268,per person
Paris: Family-Friendly River Seine Guided Cruise,Water activity,4.2,"30,093 per person",1 hour,30093,per person
Paris: Fashion Show at Galeries Lafayette Haussmann,Entry ticket,4.2,"27,083 per person",30 minutes,27083,per person
From Le Havre or Honfleur: Private Shore Excursion to Paris,Day trip,0.0,"978,009 per group up to 4",10 hours,978009,per group up to 4
Paris: Musée d'Orsay Guided Tour with Ticket,Guided tour,4.9,"189,794 per person",2.5 hours,189794,per person
Skip the Line Versailles Tour from Paris via Train,Guided tour,4.7,"112,847 per person",4.5 hours,112847,per person
Paris: Private Day Trip to Champagne with 8 Tastings & Lunch,Private tour,4.9,"2,303,873 per group up to 1",11 hours,2303873,per group up to 1
Paris: 2-Hour Private Musée d'Orsay Guided Tour,Private tour,4.4,"315,220 per person",2 hours,315220,per person
Paris: Openair Double Decker Bus Audio-Guided City Tour,Other experience,3.7,"58,681 per person",1.5 hours,58681,per person
Paris: Guided Segway Tour,Private tour,4.8,"75,231 per person",45 minutes,75231,per person
From Paris: Bike Tour to Versailles with Timed Palace Entry,Day trip,4.5,"164,005 per person",8 hours,164005,per person
Paris: Bastille Day Seine River Dinner Cruise & Fireworks,Entry ticket with host,0.0,"374,653 per person",225 minutes,374653,per person
Louvre Museum: Mona Lisa Without the Crowds Last Entry Tour,Guided tour,4.7,"126,389 per person",3 hours,126389,per person
Paris: Versailles Palace Self Guided Tour & Gardens Ticket,Entry ticket,4.4,"127,893 per person",4 hours,127893,per person
Paris: Full-Day Cooking Class with 3-Course Lunch,Workshop or class,4.9,"284,375 per person",5 hours,284375,per person
Paris Gourmet Tour,Guided tour,4.8,"164,005 per person",3 hours,164005,per person
From Paris: Chateau de Fontainebleau & Vaux-Le-Vicomte Tour,Day trip,4.7,"284,375 per person",10 hours,284375,per person
Paris: Chocolate and Pastry Tour with Tastings,Guided tour,4.5,"112,784 per person",2.5 hours,112784,per person
Paris: Happy Hour Evening Cruise on the Seine River,Water activity,4.1,"24,074 per person",1.5 hours,24074,per person
Pierrefonds: Château de Pierrefonds Entrance Ticket,Entry ticket,4.4,"12,037 per person",1 day,12037,per person
Paris: Best of the Louvre Museum Guided Tour with Mona Lisa,Guided tour,5.0,"135,417 per person",2 hours,135417,per person
Paris Catacombs Skip-the-Line Guided Tour and Special Access,Guided tour,4.8,"148,958 per person",1.5 hours,148958,per person
Paris: Versailles Golf Cart & Bike Tour with Palace Entry,Day trip,5.0,"254,282 per person",7 hours,254282,per person
The Louvre: Small Group Tour with Skip-the-Line Access,Guided tour,4.6,"123,380 per person",3 hours,123380,per person
Versailles: Private Guided Tour of the Palace,Private tour,4.1,"360,359 per person",2 hours,360359,per person
Paris: Fly Over Paris and the World in Virtual Reality,Entry ticket,4.3,"36,863 per person",35 minutes,36863,per person
From Paris: Versailles Full-Day Trip by Train,Day trip,4.7,"207,338 per person",9 hours,207338,per person
Paris: Night Bus Tour with Audioguide,Other experience,4.3,"42,205 per person",1.5 hours,42205,per person
Paris Catacombs: Skip-the-Line Special Access Tour,Guided tour,4.8,"153,472 per person",2 hours,153472,per person
From Paris: Giverny and Monet's Home Day Trip,Other experience,4.7,"165,509 per person",4.5 hours,165509,per person
From Paris: Roundtrip Shuttle to Versailles,Transfer,4.2,"52,662 per person",4 - 8 hours,52662,per person
Afternoon in the Petit Trianon & Estate of Marie Antoinette,Guided tour,4.7,"75,081 per person",2.5 hours,75081,per person
Paris: Luxembourg Garden Self-Guided Audio Tour,Other experience,0.0,"12,478 per person",1 hour,12478,per person
Paris: Dinner Cruise on the Seine River at 6:15 PM,Water activity,4.6,"133,912 per person",75 minutes,133912,per person
Paris: Latin Quarter Pub Crawl Tour,Guided tour,4.3,"37,616 per person",4 hours,37616,per person
From Paris: Prestige Champagne Tour and Tastings,Private tour,4.8,"2,139,612 per group up to 1",1 day,2139612,per group up to 1
Paris: Professional Photoshoot Outside the Louvre Museum,Private tour,4.7,"82,755 per group up to 1",30 - 45 minutes,82755,per group up to 1
Paris: Daytime or Sunset Eiffel Tower Tour,Guided tour,3.8,"72,222 per person",2 hours,72222,per person
Paris: Musée d’Orsay Skip-The-Line Guided Tour,Private tour,5.0,"300,926 per person",2 hours,300926,per person
Paris: Paradis Latin Cabaret Show for Those Aged 26 & Under,Entry ticket,4.7,"75,231 per person",1.5 hours,75231,per person
Paris: Paradis Latin's Mon Premier Cabaret Show Ticket,Entry ticket,4.7,"75,231 per person",2 hours,75231,per person
Paris: Private 1-Hour Sightseeing Segway Tour,Private tour,5.0,"84,259 per person",1 hour,84259,per person
Last Entry: Versailles Tour After the Crowds,Guided tour,4.5,"189,583 per person",4.5 hours,189583,per person
Versailles: Skip-the-Line Entrance and Lunch at Ore,Entry ticket,4.2,"130,903 per person",1 day,130903,per person
Paris: Cheese and Wine Tasting,Workshop or class,5.0,"105,324 per person",1.5 hours,105324,per person
Paris: Louvre Must-See Tour with Reserved Entry Ticket,Guided tour,4.9,"189,794 per person",2.5 hours,189794,per person
Paris: Disneyland Paris Ticket with Transfer from Paris,Entry ticket,4.1,"216,667 per person",12 hours,216667,per person
Paris: Unofficial Emily in Paris Show Locations Walking Tour,Guided tour,4.5,"54,167 per person",100 minutes,54167,per person
Paris: Oh My God She's Parisian! English Comedy Show,Entry ticket,4.7,"42,130 per person",65 minutes,42130,per person
Château de Versailles: The Musical Gardens,Entry ticket,4.3,"15,046 per person",1 day,15046,per person
Family Experience: Montmartre Tour,Guided tour,4.7,"93,287 per person",2 hours,93287,per person
Paris: Private Transfer to/from Orly Airport,Transfer,4.8,"114,322 per group up to 4",35 minutes,114322,per group up to 4
Paris: Street Art Smartphone Audio-Guided Tour,Other experience,4.5,"13,527 per person",1 hour,13527,per person
Versailles: Royal Palace & Gardens Private Golf Cart Tour,Guided tour,5.0,"406,250 per person",3 hours,406250,per person
Paris: Early Evening Dinner Cruise on the River Seine,Water activity,4.1,"127,893 per person",69 - 75 minutes,127893,per person
Versailles: Private Half-Day Guided Tour from Paris,Private tour,4.9,"1,805,555 per group up to 8",4 hours,1805555,per group up to 8
Paris: Hidden Gems of Montmartre with Local Guide,Guided tour,4.8,"58,681 per person",2 - 3 hours,58681,per person
Paris: Eiffel Tower Summit Access & Cruise by Night,Bundle,4.2,"165,359 per person",4 hours,165359,per person
Paris: Pantheon Entry Ticket and Seine River Cruise,Other experience,4.3,"44,988 per person",1 day,44988,per person
Paris: UNESCO Headquarters Tour,Guided tour,4.8,"22,569 per person",1.5 hours,22569,per person
From Paris: Versailles & Louvre Guided Tour,Day trip,4.8,"364,120 per person",8 hours,364120,per person
Paris: Giverny & Versailles Small Group or Private Tour,Day trip,4.3,"449,884 per person",9 hours,449884,per person
Paris: Centre Pompidou Ticket and Seine River Cruise,Bundle,4.5,"46,643 per person",1 day,46643,per person
Paris: Walking Tour of Montmartre,Guided tour,4.7,"45,139 per person",2 hours,45139,per person
The Best of Paris Original Food Tour,Guided tour,4.8,"258,796 per person",2.5 hours,258796,per person
Paris: Covered Passages Walking Tour,Guided tour,4.6,"54,167 per person",1.5 hours,54167,per person
Cooking Class with a Parisian Chef,Workshop or class,5.0,"194,097 per person",3 hours,194097,per person
Left Bank Delicacies - Saint Germain des Prés,Guided tour,4.3,"142,940 per person",3 hours,142940,per person
From Le Havre: Shopping and Dining Shore Excursion to Paris,Day trip,4.3,"201,996 per person",10 - 11 hours,201996,per person
Paris: Cheesemaking Workshop,Workshop or class,4.9,"105,324 per person",2 hours,105324,per person
Paris: Caves du Louvre French Wine Experience,Other experience,0.0,"54,167 per person",1 day,54167,per person
Paris: Louvre Museum Skip-The-Line Tour,Private tour,4.7,"376,157 per person",2 hours,376157,per person
Paris: Entry Ticket to Bourse de Commerce Pinault Collection,Entry ticket,4.8,"21,065 per person",30 minutes,21065,per person
Visit of Epernay & Multiple Champagne Tastings in a Vineyard,Day trip,5.0,"600,347 per person",10 hours,600347,per person
From Paris: 2-Day Normandy & Brittany Tour,Multi-day trip,4.4,"677,083 per person",2 days,677083,per person
Paris: Unlimited 4G Internet & Pocket WiFi in France & EU,Other experience,4.8,"52,662 per group up to 1",1 - 14 days,52662,per group up to 1
Paris: Food Market Tour in Bastille,Guided tour,0.0,"148,958 per person",3.5 hours,148958,per person
Paris: 1-Hour Vintage Citroen 2CV Tour,Private tour,4.6,"82,755 per person",1 hour,82755,per person
Vintage 2CV tour + Cruise,Bundle,4.4,"128,646 per person",2 hours,128646,per person
Paris: Private 1.5-Hour Sightseeing Segway Tour,Private tour,4.9,"97,801 per person",1.5 hours,97801,per person
Paris: Covered Passages Audio-Guided Walking Tour,Other experience,4.5,"13,527 per person",1 hour,13527,per person
Paris: Stories of Père Lachaise Cemetery Walking Tour,Guided tour,4.8,"54,167 per person",1.5 hours,54167,per person
Paris: Eiffel Tower Dinner Cruise with a Moulin Rouge Show,Bundle,4.2,"413,773 per person",7 - 8 hours,413773,per person
Paris: French Fashion History Walking Tour,Guided tour,4.9,"391,204 per group up to 6",1.5 hours,391204,per group up to 6
Paris: Electric Bike Tour,Guided tour,5.0,"81,250 per person",3 hours,81250,per person
Highlights of Paris: Private 6-Hour Vintage 2CV Tour,Private tour,4.7,"375,405 per person",6 hours,375405,per person
Orsay Museum with Private Guide,Private tour,5.0,"765,856 per group up to 6",2 hours,765856,per group up to 6
Paris: Montmartre Walking Tour,Guided tour,4.7,"54,167 per person",1.5 hours,54167,per person
"Paris: Full-Day Cooking Class, Market Tour and Lunch",Day trip,4.9,"329,514 per person",6 hours,329514,per person
Paris: Discover Paris by Night in a Vintage Car with a Local,Private tour,4.6,"89,525 per person",1 - 2 hours,89525,per person
Paris: Walking Tour with Louvre Ticket & Private Tour Option,Guided tour,4.4,"61,690 per person",3 - 4 hours,61690,per person
Paris: Louvre Museum Skip-the-Line Entry & Private Tour,Private tour,0.0,"380,671 per person",3 hours,380671,per person
Paris Immersive Audio-Guided Coach Tour & Seine River Cruise,Bundle,3.7,"58,681 per person",3 hours,58681,per person
Paris: City Highlights Segway Tour,Guided tour,4.7,"120,370 per person",2 hours,120370,per person
Paris: Sunrise Run & Sightseeing Small Group Tour,Guided tour,5.0,"65,075 per person",2 hours,65075,per person
From Paris: Versailles Guided Tour with Priority Access,Day trip,4.5,"148,958 per person",6 hours,148958,per person
Paris: 2-Hour Street Art Tour,Guided tour,4.8,"90,278 per person",2 hours,90278,per person
Versailles Palace & Gardens Tour with Gourmet Lunch,Day trip,4.7,"288,738 per person",6 hours,288738,per person
Paris: Guided Tour of the Louvre Museum and Mona Lisa,Guided tour,5.0,"103,398 per person",3 hours,103398,per person
"Notre-Dame Exterior, Île de la Cité, St. Severin Church Tour",Guided tour,4.4,"37,616 per person",1.5 hours,37616,per person
Paris: The Rodin Museum and Seine River Cruise,Day trip,4.6,"46,493 per person",1 day,46493,per person
Paris: All-Inclusive Pass to over 35 Attractions,City card,3.6,"135,417 per person",2 - 3 days,135417,per person
Paris: Sightseeing Bastille Day Cruise,Water activity,4.1,"105,324 per person",2.5 hours,105324,per person
Paris: Guided City Tour by Electric Bike,Guided tour,5.0,"112,847 per person",2 hours,112847,per person
Montmartre like a Local: Paris Food Tour,Guided tour,5.0,"148,958 per person",3.5 hours,148958,per person
Paris: Centre Pompidou Skip-the-Line Guided Museum Tour,Guided tour,5.0,"189,794 per person",2.5 hours,189794,per person
Paris: Secret Food of Le Marais Walking and Tasting Tour,Guided tour,4.0,"152,528 per person",3 hours,152528,per person
Versailles: Skip-the-Line Day Tour & Transfer from Paris,Private tour,4.4,"3,159,721 per group up to 8",8 hours,3159721,per group up to 8
Paris Bakery Tour,Workshop or class,4.3,"70,718 per person",1 hour,70718,per person
Paris: O Chateau's Wine Tasting Dinner,Guided tour,4.2,"164,005 per person",1.5 hours,164005,per person
Paris: Pastry Class with Ferrandi Chef at Galeries Lafayette,Workshop or class,5.0,"195,602 per person",2 hours,195602,per person
Paris: Louvre/Eiffel Tower & Seine Cruise Timed Entry Ticket,Day trip,5.0,"137,809 per person",8.5 hours,137809,per person
From Paris: Full-Day Champagne Tour,Day trip,4.1,"361,111 per person",11 hours,361111,per person
Paris: 1-Hour Sightseeing Cruise and Bistro Lunch,Water activity,4.5,"81,476 per person",2.5 hours,81476,per person
Army Museum: Invalides and Napoleon's Tomb Guided Tour,Guided tour,4.9,"165,359 per person",2.5 hours,165359,per person
Vaux le Vicomte castle Entry Ticket & Chateau Bus Transfer,Entry ticket,4.5,"43,634 per person",5 hours,43634,per person
Paris: Choux Pastry and Chocolate Éclair Making Class,Workshop or class,4.9,"194,097 per person",3 hours,194097,per person
Paris: Emily in Paris Filming Locations Guided Walking Tour,Guided tour,4.7,"112,847 per person",2 hours,112847,per person
"Paris: Eiffel Tower 2nd Floor Ticket, Louvre Museum & Cruise",Entry ticket with host,3.0,"165,359 per person",5 hours,165359,per person
From Paris: Private Normandy D-Day Beaches Tour,Private tour,5.0,"2,166,666 per group up to 2",12 hours,2166666,per group up to 2
Paris: Hands-On Small Group Cooking Class,Workshop or class,5.0,"218,171 per person",3.5 hours,218171,per person
Paris: Highlights Self-Guided Scavenger Hunt and Audio Tour,Other experience,4.3,"6,019 per person",365 days,6019,per person
Paris: Pompidou Centre Private Guided Tour,Private tour,4.9,"338,541 per person",2 hours,338541,per person
Paris: Secret Montmartre Smartphone Audio Walking Tour,Other experience,4.5,"13,527 per person",1 hour,13527,per person
Paris: Seine River Champagne Dinner Cruise with Live Music,Other experience,3.3,"157,986 per person",1.5 - 2 hours,157986,per person
Paris: Wine Tasting at the Eiffel Tower with Local Producer,Guided tour,5.0,"90,278 per person",1.5 hours,90278,per person
Versailles Trip from Paris in Citroen 2CV,Private tour,4.4,"255,035 per person",4 hours,255035,per person
Paris: Gourmet Food Tasting Tour of Medieval Marais,Guided tour,4.6,"131,204 per person",3 hours,131204,per person
Notre Dame: Private Guided Visit,Private tour,4.9,"225,694 per person",1.5 hours,225694,per person
Paris: Small-Group Catacombs Tour with Skip-the-Line Entry,Guided tour,4.9,"179,051 per person",1.5 hours,179051,per person
Paris: Army Museum Ticket and Seine River Cruise Combo,Bundle,4.3,"48,073 per person",1 day,48073,per person
Paris: 3-Hour Private Segway Tour,Private tour,4.8,"142,940 per person",3 hours,142940,per person
Orly Airport Shared Shuttle Transfer Service,Transfer,3.8,"57,198 per person",1 - 1.5 hours,57198,per person
From Paris: Small-Group Loire Valley Castles Full-Day Tour,Day trip,4.8,"353,588 per person",12 hours,353588,per person
Paris: Wine Tasting with Professional Sommelier,Other experience,3.8,"45,139 per person",45 minutes,45139,per person
Paris: Ile de la Cite Walking Tour with Notre Dame,Bundle,4.8,"90,127 per person",165 minutes,90127,per person
Paris: Montmartre Quintessential Guided Walking Tour,Guided tour,5.0,"52,662 per person",1.5 hours,52662,per person
Paris: Highlights Tour from Notre Dame to the Eiffel Tower,Guided tour,4.8,"74,178 per person",4 hours,74178,per person
Murders and Mysteries of the Louvre Museum,Guided tour,4.3,"157,986 per person",2 hours,157986,per person
Paris: Private Guided City Tour in a Citroën Traction Avant,Private tour,0.0,"214,951 per group up to 4",1 - 3 hours,214951,per group up to 4
Paris: Eiffel Tower Virtual Reality Guided Tour in 1889,Guided tour,5.0,"43,634 per person",75 minutes,43634,per person
Paris Jewish History 2-Hour Private Guided Walking Tour,Private tour,4.9,"225,694 per person",2 hours,225694,per person
From Paris: Loire Valley Castles Full-Day Tour with Lunch,Day trip,4.6,"443,866 per person",12 hours,443866,per person
Disneyland® Paris Express Tickets for Train and Parks,Entry ticket,4.3,"209,143 per person",1 day,209143,per person
Paris: Montmartre Street Art Tour with an Artist,Guided tour,4.9,"60,185 per person",135 minutes,60185,per person
Paris Marais Quarter 2-Hour Private Walking Tour,Private tour,4.8,"225,694 per person",2 hours,225694,per person
"Paris: Guided Tour, Cruise and Sainte Chapelle Entry",Bundle,4.8,"106,829 per person",3 hours,106829,per person
Paris: Eiffel Tower Guided Tour with Summit,Guided tour,5.0,"165,359 per person",1.5 hours,165359,per person
Paris: Rive Gauche Bus Toqué Lunch with a Glass of Champagne,Guided tour,4.8,"120,370 per person",1.5 hours,120370,per person
From Paris: Small-Group Mont St Michel Tour & Cider Tasting,Day trip,4.6,"331,018 per person",14 hours,331018,per person
Paris: Pure Chocolate Walking Tour,Guided tour,4.7,"120,370 per person",2 hours,120370,per person
Paris: Jewish Quarter & Museum of the Art and History Tour,Private tour,0.0,"264,815 per person",2 - 5.5 hours,264815,per person
Paris: Dark City Secrets Walking Tour,Guided tour,4.7,"45,139 per person",2 hours,45139,per person
From Paris: D-Day Normandy Beaches Guided Day Tour,Day trip,0.0,"239,236 per person",13 hours,239236,per person
Paris: Outdoor Walking Escape Game,Private tour,4.9,"45,139 per person",2 hours,45139,per person
Discover the Heart of Paris by Bike,Guided tour,4.6,"63,194 per person",3 hours,63194,per person
Private tour Paris little known in Citroën 2CV,Private tour,5.0,"166,261 per person",1.5 hours,166261,per person
From Paris: Mont St Michel and Loire Valley 2 Day Tour,Multi-day trip,4.3,"677,083 per person",2 days,677083,per person
Montmartre & Sacré Coeur: 2.5-Hour Walking Tour,Private tour,4.9,"151,516 per person",2.5 hours,151516,per person
Private tour of Paris by Night with Champagne,Private tour,4.7,"157,234 per person",2 hours,157234,per person
Paris: Musée du Quai Branly Ticket & Seine River Cruise,Bundle,5.0,"43,634 per person",1 day,43634,per person
Paris: Lunch Cruise and Sightseeing Bus Tour from London,Day trip,4.6,"533,847 per person",15.5 hours,533847,per person
Paris By Night: 3-Hour Guided Bike Tour,Guided tour,4.6,"64,699 per person",3 hours,64699,per person
"Paris: Guided tour of Le Marais, Paris's Gay Neighborhood",Guided tour,0.0,"132,407 per person",2.5 hours,132407,per person
Exclusive Wine Day Trip Loire Valley from Paris,Day trip,5.0,"600,347 per person",11 hours,600347,per person
Small Group Guided Louvre Highlights Tour,Guided tour,4.8,"142,789 per person",1.5 - 3 hours,142789,per person
Paris: Père Lachaise Cemetery Walking Tour,Private tour,4.8,"151,516 per person",2.5 hours,151516,per person
Paris: Hop-On Hop-Off Bus Tour with Self-Guided Walking Tour,Hop-on hop-off tour,4.5,"74,464 per person",1 - 2 days,74464,per person
"Paris: Eiffel Tower, Versailles & Seine River Combo Tour",Bundle,3.2,"165,509 per person",1 day,165509,per person
Paris: Fly Over France Virtual Reality Experience,Entry ticket,4.6,"42,325 per person",35 minutes,42325,per person
Paris: Discovery Hop-On Hop-Off and Paris by Night Tour,Hop-on hop-off tour,4.1,"83,131 per person",1 - 3 days,83131,per person
Paris: Professional Photoshoot at The Eiffel Tower,Private tour,5.0,"43,332 per group up to 2",15 minutes,43332,per group up to 2
From Paris: Normandy Landing Beaches D-Day Tour by Minibus,Day trip,4.7,"389,699 per person",12 hours,389699,per person
Paris: Invalides Dome - Skip-the-Line Guided Museum Tour,Guided tour,5.0,"189,794 per person",2 hours,189794,per person
From Paris: Versailles Full-Day Guided Tour with Lunch,Day trip,4.8,"418,287 per person",7 hours,418287,per person
Paris: Graffiti on Canvas Workshop at an Art Studio,Workshop or class,5.0,"60,185 per person",2 hours,60185,per person
Les Marais: French Tastes and Drinks Private Foodie Tour,Private tour,4.7,"246,759 per person",3 hours,246759,per person
Marne River Loop Day Cruise with Lunch on Board,Day trip,4.7,"135,417 per person",6 hours,135417,per person
Paris: Guided Food Tour,Guided tour,4.7,"142,940 per person",3.5 hours,142940,per person
Vintage Paris & St Ouen Flea Market Walking Tour,Guided tour,4.1,"142,940 per person",3 hours,142940,per person
Paris: Marais District Scavenger Hunt and Self-Guided Tour,Other experience,4.7,"13,905 per person",2 hours,13905,per person
Paris: Pastry and Chocolate Tasting Walking Tour,Guided tour,5.0,"118,866 per person",2.5 hours,118866,per person
Burgundy: Winery Tour,Day trip,4.8,"353,588 per person",12 hours,353588,per person
Paris: Louvre Skip-the-Line Entry & Small-Group Guided Tour,Guided tour,0.0,"179,051 per person",2.5 hours,179051,per person
Paris 2-Hour Writers and Painters Guided Walking Tour,Guided tour,3.7,"109,838 per person",2 hours,109838,per person
"Paris Premium & Private, Highlights city tour on Sidecar",Private tour,5.0,"255,742 per group up to 2",1 hour,255742,per group up to 2
Paris: Open-Top Christmas Bus Tour,Other experience,3.9,"52,662 per person",1.5 hours,52662,per person
Paris: Marais District Smartphone Audio-Guided Tour,Guided tour,4.1,"13,527 per person",1 hour,13527,per person
Paris: Eiffel Tower Summit Access Tour and River Cruise,Bundle,3.6,"165,509 per person",2 hours,165509,per person
"Classic, Romantic Paris: 3-Hour Vintage 2CV Tour",Private tour,4.6,"187,326 per person",3 hours,187326,per person
Paris: Private Guided City Tour in a Vintage Citroën DS 21,Private tour,5.0,"214,951 per group up to 4",1 - 3 hours,214951,per group up to 4
Paris: Banksy Museum Ticket and Street Art Mobile Audio Tour,Other experience,5.0,"32,485 per person",1 day,32485,per person
The Gourmet Gastronomy of Paris: 2.5-Hour Food Tour,Guided tour,5.0,"153,472 per person",2.5 hours,153472,per person
Medieval Paris Private Walking Tour,Private tour,4.9,"225,694 per person",2 hours,225694,per person
Paris: French Revolution Walking Tour,Guided tour,3.0,"58,681 per person",2 hours,58681,per person
Paris: Romantic Limousine Tour,Private tour,5.0,"737,268 per group up to 2",1 hour,737268,per group up to 2
Paris: Père Lachaise Cemetery Private Tour,Private tour,5.0,"388,194 per group up to 1",2 hours,388194,per group up to 1
Discover Secret Passages in Paris,Guided tour,5.0,"148,958 per person",3 hours,148958,per person
Paris Chocolate Tour and Tastings,Guided tour,3.5,"112,847 per person",2 hours,112847,per person
Paris: Gourmet Food Tour with 10+ Tastings and Wine,Guided tour,0.0,"142,187 per person",2.5 hours,142187,per person
"Versailles: Gardens Golf Cart Tour, Row Boat, Palace Tickets",Water activity,5.0,"254,282 per person",7 hours,254282,per person
Paris: City Exploration Foxtrail Game in Saint Germain,Other experience,5.0,"43,634 per person",2 hours,43634,per person
Paris: Street Art Open-Air Museum Bike Tour,Guided tour,4.8,"69,213 per person",3.5 hours,69213,per person
Paris: The Ultimate Wine and Cheese Tasting,Other experience,5.0,"164,005 per person",2 hours,164005,per person
Paris: Virtual-Reality Escape Room Adventure,Private tour,4.9,"45,139 per person",1 hour,45139,per person
Paris: Dinner with Customized Wine Selection,Guided tour,4.8,"118,866 per person",2 hours,118866,per person
Paris by Night - Tuk tuk Ride,Private tour,4.5,"173,032 per group up to 2",1 - 2 hours,173032,per group up to 2
Paris: Guided Private E-bike Sightseeing Tour,Private tour,4.0,"127,893 per person",2.5 hours,127893,per person
Versailles: Path of the Heroes E-Bike Tour,Day trip,5.0,"203,125 per person",1 day,203125,per person
From Paris: Giverny and Versailles Private Full-Day Trip,Private tour,5.0,"1,503,124 per person",9 hours,1503124,per person
Paris: Private Transfer from CDG Airport to Paris,Transfer,5.0,"284,375 per group up to 6",40 minutes,284375,per group up to 6
Paris: Romantic Montmartre Exploration Game,Other experience,4.4,"15,031 per person",1.5 hours,15031,per person
Paris: Nighttime Segway Tour,Private tour,5.0,"142,940 per person",2 hours,142940,per person
Paris: Sainte-Chapelle & Conciergerie Entry Ticket & Cruise,Entry ticket,1.0,"55,521 per person",3 hours,55521,per person
Montmartre: Self-Guided Audio Tour,Other experience,5.0,"12,478 per person",1 hour,12478,per person
Dessert & Chocolate Cooking Class with a Parisian Chef,Workshop or class,5.0,"194,097 per person",3 hours,194097,per person
"From Paris: Private Champagne Tour, Tastings at Moet&Chandon",Private tour,0.0,"2,384,837 per group up to 1",10 hours,2384837,per group up to 1
French Lesson at Cafe de Flore and Paris Guided Tour,Workshop or class,3.9,"90,278 per person",1.5 hours,90278,per person
1.5-Hour Paris Segway Night Tour,Private tour,4.9,"135,417 per person",1.5 hours,135417,per person
Versailles: Harry Potter Outdoor Escape Game,Other experience,3.5,"103,819 per group up to 6",3 hours,103819,per group up to 6
Paris Vintage Sidecar Premium & Private Half-Day Tour,Private tour,5.0,"511,935 per group up to 2",2 hours,511935,per group up to 2
Paris: Full-Day Custom Tour with Local Guide,Private tour,5.0,"451,389 per person",8 hours,451389,per person
Paris: VIP Paris Hotel Transfer to and from Orly Airport,Transfer,4.1,"139,720 per group up to 3",1 hour,139720,per group up to 3
