name,category,rate,price,time,price_numeric,price_text
Paris: Famous Graves of Père Lachaise Small Group Tour,Guided tour,4.5,"31,597 per person",2 hours,31597,per person
Paris: Perfume Making Workshop & Perfume Museum Guided Tour,Workshop or class,4.5,"43,634 per person",45 minutes,43634,per person
Paris: Sainte-Chapelle Skip-The-Line Ticket and River Cruise,Bundle,4.1,"42,882 per person",3 hours,42882,per person
Paris: Vallée Village Outlet Shopping Day,Day trip,4.0,"37,616 per person",6 - 9 hours,37616,per person
Paris: Illuminations Seine River Cruise w/ Audio Commentary,Water activity,4.3,"24,074 per person",1 hour,24074,per person
Paris: Stade de France Behind the Scenes Tour,Guided tour,4.5,"24,074 per person",1.5 hours,24074,per person
Paris: Louvre Museum Timed-Entrance Ticket and Audioguide,Entry ticket,4.4,"39,120 per person",1 day,39120,per person
Paris: Aquarium de Paris Entrance Ticket,Entry ticket,4.1,"31,597 per person",1 day,31597,per person
Paris: Opera Garnier Entry Ticket,Entry ticket,4.5,"21,065 per person",1 day,21065,per person
Paris: Aquaboulevard Water Park Entrance Ticket,Entry ticket,4.2,"53,414 per person",1 day,53414,per person
Paris: Sainte Chapelle Entry Ticket,Entry ticket,4.5,"17,303 per person",1 day,17303,per person
Paris: 1-Hour Seine River Cruise,Water activity,4.4,"22,569 per person",75 minutes,22569,per person
Paris: Fondation Louis Vuitton Exhibition Entry Ticket,Entry ticket,4.6,"33,102 per person",1 day,33102,per person
Paris: Marmottan Monet Museum Skip-the-Line Entry Ticket,Entry ticket,4.6,"21,065 per person",1 day,21065,per person
Paris: Grévin Wax Museum Ticket,Entry ticket,4.4,"39,120 per person",1 day,39120,per person
Versailles: Palace of Versailles Timed Entry Ticket,Entry ticket,4.1,"29,340 per person",1 day,29340,per person
Paris: Musée d'Orsay 1-Day Ticket with Reserved Access,Entry ticket,4.6,"25,579 per person",1 day,25579,per person
Paris: Rodin Museum Entrance Ticket,Entry ticket,4.8,"21,065 per person",1 day,21065,per person
Les Invalides: Napoleon's Tomb & Army Museum Entry,Entry ticket,4.6,"22,569 per person",1 day,22569,per person
Paris: Musée de l'Orangerie Reserved Entrance Ticket,Entry ticket,4.7,"20,312 per person",1 day,20312,per person
Paris: Montparnasse Tower Observation Deck Entry Ticket,Entry ticket,4.5,"22,569 per person",1 hour,22569,per person
Paris: City of Science and Industry Museum Entry Ticket,Entry ticket,3.7,"19,560 per person",1 day,19560,per person
Paris: Picasso Museum Full-Day Priority Access,Entry ticket,4.5,"21,065 per person",1 day,21065,per person
Paris: Pompidou Centre Modern Art Museum Entry Ticket,Entry ticket,4.5,"22,569 per person",1 day,22569,per person
Paris: Panthéon Admission Ticket and Self-Guided Tour,Entry ticket,4.5,"17,303 per person",1 day,17303,per person
Paris: Hôtel de la Marine Entry Ticket,Entry ticket,4.5,"14,294 per person",1 day,14294,per person
Paris: Sacré-Coeur and Montmartre Tour with Expert Guide,Guided tour,4.4,"42,130 per person",1 - 2 hours,42130,per person
Louvre Museum: Guided Tour with Optional Ticket,Guided tour,4.6,"112,847 per person",2 hours,112847,per person
Paris: 3-Course Dinner Cabaret Show at Paradis Latin Theater,Entry ticket,4.7,"263,310 per person",3.5 hours,263310,per person
Chateau of Chantilly: Skip-the-Line Ticket,Entry ticket,4.6,"25,579 per person",1 day,25579,per person
Paris: 2-Hour Guided Tour Through the Louvre,Guided tour,4.5,"67,708 per person",2 hours,67708,per person
"Paris: Day or Sunset Cruise with Drink, Ice Cream or Dessert",Water activity,4.2,"28,769 per person",1 hour,28769,per person
Paris: Seine River and Canal Saint-Martin Cruise,Water activity,4.2,"34,606 per person",2.5 hours,34606,per person
Paris: Champagne at the Moulin Rouge & Seine River Cruise,Bundle,4.1,"263,310 per person",5.5 hours,263310,per person
Paris: 2-Hour Perfume Creation Workshop,Workshop or class,4.8,"133,912 per person",2 hours,133912,per person
From Paris: Giverny and Versailles Palace Guided Day Trip,Day trip,4.3,"239,236 per person",10 hours,239236,per person
